time,jacobian_compute_time,number_dofs,number_linear_iterations,number_nonlinear_iterations,number_nonlinear_variables,physical_memory_use,residual_compute_time,simulation_alive_time,time_step_size,total_linear_iterations,total_nonlinear_iterations
34604381,30.223602175,253601,17,5,3,7756,154.580522043,391.252316567,1000000,1185,447
35604381,30.565750474,253601,17,5,3,7756,156.58249951,395.898325245,1000000,1202,452
36566112,30.907950552,253601,19,5,3,7756,158.725284179,400.69128986,961731,1221,457
36566472,31.590792447,253601,33,10,3,7756,162.42094173,409.374209318,360,1254,467
36647821.625,55.293936107,253601,96,36,3,7853,276.035865164,682.242185859,81349.625,1350,503
36729171.25,55.713210164,253601,27,6,3,7853,278.854195772,688.229502131,81349.625,1377,509
36891870.5,56.138106704,253601,27,6,3,7853,281.720063304,694.269755202,162699.25,1404,515
37217269,56.633703591,253601,31,7,3,7857,284.984010383,701.189465362,325398.5,1435,522
37868066,57.134446473,253601,31,7,3,7857,288.286024261,708.159333202,650797,1466,529
37874142,57.485609603,253601,20,5,3,7857,290.44673459,713.008061241,6076,1486,534
38524939,57.98570371,253601,29,7,3,7857,293.589283547,719.808668123,650797,1515,541
39196531,58.486696179,253601,30,7,3,7857,296.812055158,726.734430006,671592,1545,548
39216868.40625,97.230349918,253601,103,43,3,7871,480.291106297,1170.220059794,20337.40625,1648,591
39237205.8125,97.582748253,253601,18,5,3,7889,482.315226617,1174.924536924,20337.40625,1666,596
39277880.625,97.935266723,253601,18,5,3,7889,484.349462594,1179.650007104,40674.8125,1684,601
39359230.25,98.364208887,253601,25,6,3,7889,487.04467828,1185.547099415,81349.625,1709,607
39521929.5,98.866954363,253601,28,7,3,7889,490.128476064,1192.322828403,162699.25,1737,614
39847328,99.36718242,253601,27,7,3,7889,493.124847935,1199.002739006,325398.5,1764,621
40498125,99.868362734,253601,28,7,3,7889,496.189416416,1205.785701196,650797,1792,628
41498125,100.371500819,253601,27,7,3,7894,499.198272169,1212.525462559,1000000,1819,635
41679735.5,108.066237032,253601,25,7,3,7894,535.603343167,1301.322878802,181610.5,1844,642
41861346,108.496320688,253601,22,6,3,7894,538.121372999,1307.077208278,181610.5,1866,648
41952151.25,125.054033503,253601,84,31,3,7903,614.716430591,1496.196796758,90805.25,1950,679
42042956.5,125.410967569,253601,18,5,3,7903,616.80717059,1501.038044898,90805.25,1968,684
42224567,125.841691035,253601,26,6,3,7903,619.61442358,1507.106410714,181610.5,1994,690
42587788,126.274469704,253601,23,6,3,7903,622.22101481,1512.970717789,363221,2017,696
43314230,126.778194715,253601,27,7,3,7903,625.226930447,1519.72432246,726442,2044,703
44314230,127.280082671,253601,28,7,3,7903,628.297486336,1526.549161557,1000000,2072,710
44551637,127.711462018,253601,28,6,3,7903,631.25404018,1532.789350104,237407,2100,716
45551637,132.237345571,253601,181,63,3,7903,652.926084736,1585.48004711,1000000,2281,779
46551637,132.739530726,253601,27,7,3,7903,655.938704717,1592.246712098,1000000,2308,786
47270521,133.170080106,253601,21,6,3,7903,658.393611536,1597.947175553,718884,2329,792
47770521,140.883784456,253601,30,7,3,7905,695.245791294,1687.602147475,500000,2359,799
48270521,141.315929173,253601,23,6,3,7906,697.837663405,1693.456572823,500000,2382,805
49270521,141.820135535,253601,28,7,3,7910,700.948453287,1700.339294503,1000000,2410,812
50018611,142.251549203,253601,23,6,3,7910,703.545870381,1706.19995049,748090,2433,818
51018611,143.407943801,253601,50,16,3,7910,709.49544599,1720.305790324,1000000,2483,834
52018611,143.839959372,253601,23,6,3,7910,712.095963337,1726.176263471,1000000,2506,840
52796543,144.273634578,253601,23,6,3,7910,714.721171169,1732.074912776,777932,2529,846
53296543,151.984521487,253601,28,7,3,7928,752.421128745,1822.710150213,500000,2557,853
53796543,152.416258641,253601,23,6,3,7928,755.031672681,1828.588336033,500000,2580,859
54796543,153.49494632,253601,46,15,3,7928,760.508577779,1841.718407905,1000000,2626,874
55599376,153.926195435,253601,24,6,3,7928,763.181296612,1847.66816981,802833,2650,880
56599376,154.358243575,253601,23,6,3,7928,765.786918596,1853.547003436,1000000,2673,886
57599376,155.437465092,253601,46,15,3,7928,771.281650887,1866.70807459,1000000,2719,901
58427562,155.867309607,253601,22,6,3,7928,773.804340566,1872.500016649,828186,2741,907
59427562,156.298449195,253601,21,6,3,7930,776.258994716,1878.217720331,1000000,2762,913
60427562,157.375440759,253601,44,15,3,7930,781.586593807,1891.19448459,1000000,2806,928
61278671,157.804095582,253601,22,6,3,7930,784.099393914,1896.969398509,851109,2828,934
62278671,160.032945229,253601,82,31,3,7930,794.362580562,1922.694435063,1000000,2910,965
63278671,160.463657459,253601,22,6,3,7930,796.895153852,1928.488986506,1000000,2932,971
64150145,160.894024612,253601,22,6,3,7930,799.4357865,1934.298871033,871474,2954,977
65150145,161.324676456,253601,21,6,3,7932,801.906093103,1940.032668075,1000000,2975,983
