time,average_burnup,average_centerline_fuel_temperature,average_fission_rate,average_interior_clad_temperature,clad_inner_vol,disp_y_3023,fission_gas_generated,fission_gas_released,fission_gas_released_percentage,flux_from_clad,flux_from_fuel,initial_moles,maximum_clad_elongation,maximum_fuel_elongation,pellet_volume,plenum_pressure,plenum_temperature,plenum_volume,rod_ave_lin_pow
97130772,0.053059381991067,1253.0235171202,1.0818169346223e+19,618.75768273878,0.00021919995816954,0.037457137588754,0.11673230875555,0.0021583341459532,1.848960385486,-66018.271886011,65636.62010158,0.02702175888503,0.037457137588754,0.055672843323354,-0.00020430208533304,10390818.41315,638.06019935687,1.4897872836499e-05,66911.755684454
98130772,0.053538246821095,1255.3593966021,1.0827383073117e+19,618.8059411611,0.00021926288052513,0.037886025330204,0.11778033439804,0.0022035481634883,1.8708965081059,-66046.725755327,65684.530729784,0.02702175888503,0.037886025330204,0.056100850107806,-0.0002043732465663,10413950.905225,638.1382452508,1.4889633958824e-05,66968.743759161
98910677,0.053911975494123,1257.1959680404,1.0834597119994e+19,618.84198839406,0.00021931680036663,0.038222223556901,0.11859831516798,0.0022404483217254,1.8891063659311,-66065.511132763,65721.975785179,0.02702175888503,0.038222223556901,0.056436500169778,-0.00020442894812131,10429386.913186,638.20184777889,1.4887852245312e-05,67013.363558195
99910677,0.05439148672642,1259.424971325,1.0843208390556e+19,618.89145290777,0.00021937882525237,0.038643966785559,0.11964790242766,0.0022902861381721,1.914188290561,-66093.501835794,65767.926064303,0.02702175888503,0.038643966785559,0.056865498752555,-0.00020450051544539,10455428.593825,638.29821227657,1.4878309806979e-05,67066.62536373
100910677,0.054871353052779,1261.7970671775,1.0852519187027e+19,618.94010455777,0.00021944327155607,0.039079511924662,0.12069835743076,0.0023418697061614,1.9402664261647,-66122.103470775,65816.121047447,0.02702175888503,0.039079511924662,0.057299834192028,-0.00020457272011722,10480802.732856,638.39019399596,1.4870551438851e-05,67124.213826138
101684565,0.055242973104228,1263.6475293075,1.0859751130252e+19,618.9761339974,0.00021949782792337,0.039418581971526,0.12151191180531,0.0023834085044659,1.9614607893624,-66140.814864985,65853.480126998,0.02702175888503,0.039418581971526,0.057637870978994,-0.00020462881786529,10497925.827577,638.46369703814,1.4869010058076e-05,67168.944316359
102684565,0.055723451789315,1265.8499739574,1.0866907128099e+19,619.04245534049,0.00021956152432073,0.039849227259828,0.12256386439766,0.0024400024272145,1.9908008279649,-66159.435980465,65890.186135739,0.02702175888503,0.039849227259828,0.058071973642126,-0.00020470122839375,10526317.622722,638.58620253071,1.4860295926982e-05,67213.205074748
103684565,0.056204253145489,1268.2554841521,1.0876308222409e+19,619.09104177413,0.00021962757231303,0.040291659215861,0.12361661864464,0.0024978406888142,2.02063502157,-66187.401824695,65938.594118146,0.02702175888503,0.040291659215861,0.058512897138016,-0.0002047745372552,10553857.766897,638.69025543399,1.4853035057835e-05,67271.352040789
104452461,0.05657371348404,1270.1169412213,1.0883551612677e+19,619.12660825506,0.00021968251142206,0.040633176338549,0.12442564325647,0.0025439965323601,2.0445918267155,-66205.31001951,65975.812940811,0.02702175888503,0.040633176338549,0.058853415596426,-0.00020483106303945,10572847.639646,638.77235635513,1.4851448382615e-05,67316.153332434
105452461,0.057055177725494,1272.4732130105,1.0893138298957e+19,619.17783070627,0.00021974808728,0.041071456392209,0.12548001826127,0.0026067698494341,2.0774382133149,-66239.663176699,66026.672424289,0.02702175888503,0.041071456392209,0.059297128986395,-0.00020490503636865,10603300.606609,638.89350623945,1.4843050911354e-05,67375.448208459
106452461,0.057537016936489,1274.9211142581,1.0902627554735e+19,619.2258164991,0.00021981569581059,0.041520830150997,0.12653531687735,0.0026730860324387,2.1125217041419,-66266.069386621,66075.287811104,0.02702175888503,0.041520830150997,0.059744765151574,-0.000204979459108,10633908.205798,639.01331612072,1.4836236702592e-05,67434.140464417
107214393,0.057904398321755,1276.8036135296,1.0909880053428e+19,619.26177192313,0.00021986761945846,0.041865314635629,0.12734000028117,0.0027258437904472,2.1406029404967,-66285.068076912,66112.37363035,0.02702175888503,0.041865314635629,0.060087554445777,-0.00020503645644029,10658036.514839,639.10872911801,1.4831163018175e-05,67478.998092832
108214393,0.058386950238112,1279.3183760286,1.0921872376444e+19,619.28698398196,0.00021993907842323,0.042310915485438,0.1283970412808,0.0027995184625226,2.180360571082,-66332.63533802,66177.36962796,0.02702175888503,0.042310915485438,0.060539197717603,-0.00020511159002501,10689039.772661,639.22588519353,1.4827488398218e-05,67553.172138552
109214393,0.058869928446174,1281.8084250791,1.0931441891562e+19,619.33515387218,0.00022000844414287,0.042768454184374,0.12945512625284,0.0028748025325347,2.2206942403501,-66358.805162453,66226.083841384,0.02702175888503,0.042768454184374,0.060994567168352,-0.00020518731186022,10722902.426875,639.36197888751,1.482113228265e-05,67612.360808755
109970384,0.059235306009443,1283.7080042516,1.0938696905163e+19,619.37031976443,0.0002200612420914,0.043116030132626,0.13025564480166,0.0029339609847598,2.252463598969,-66376.376051597,66262.941453785,0.02702175888503,0.043116030132626,0.061340593536204,-0.00020524485577726,10749353.602276,639.46855114977,1.481638631414e-05,67657.233992192
110596668,0.059537950268509,1284.2567659844,1.0929769992212e+19,619.2869820527,0.00022010471152593,0.043379519787213,0.13091876596599,0.0029864761770251,2.2811673750429,-66302.643764637,66204.283214156,0.02702175888503,0.043379519787213,0.06160550262183,-0.0002052886269013,10767777.789363,639.43056307882,1.4816084624634e-05,67602.019898268
110596758,0.059537992741798,1253.3485480685,1.0427224273443e+19,616.36628768657,0.00022000106441667,0.04275112823225,0.13091885903089,0.0030394629383651,2.3216387317033,-63392.869014809,63304.8292669,0.02702175888503,0.04275112823225,0.060948153146765,-0.00020517294984588,10718110.128427,635.87511465711,1.4828114570792e-05,64493.710601344
110596848,0.059538033213158,1220.497165731,9.9226082212514e+18,613.37938478726,0.00021990322636904,0.042094190656789,0.13091894770699,0.0030851428137524,2.3565288812566,-60353.55993865,60272.332813532,0.02702175888503,0.042094190656789,0.060261502434829,-0.00020505185545728,10655607.007407,632.19780562327,1.4851370911756e-05,61372.596028435
110596893,0.059538052695767,1203.8286618495,9.6695238197662e+18,611.88719823515,0.0002198364213543,0.04176145271991,0.13091899039416,0.0031055065925131,2.3720826009757,-58830.38691504,58749.220860317,0.02702175888503,0.04176145271991,0.059913240077708,-0.0002049909002127,10634925.478155,630.29591664244,1.4845521141599e-05,59807.236761283
110596938,0.059538071674766,1187.1115333377,9.4159218349396e+18,610.39345955081,0.00021978186564579,0.041430911924539,0.13091903197738,0.0031244967173426,2.3865870913882,-57297.976500882,57219.740692241,0.02702175888503,0.041430911924539,0.059566475821911,-0.0002049299074379,10605183.396641,628.40963295894,1.485195820789e-05,58238.676175223
110596983,0.059538090149111,1170.3255579792,9.1618022667676e+18,608.9019524262,0.00021972639137305,0.041107137750922,0.13091907245437,0.0031423767489567,2.4002436696547,-55764.050574907,55687.031899099,0.02702175888503,0.041107137750922,0.059218488345896,-0.00020486885695358,10575498.396567,626.51433591665,1.4857534419474e-05,56666.914270229
110597028,0.059538108117759,1153.4740659455,8.9071651152447e+18,607.41062411892,0.00021967285161033,0.040774219605294,0.13091911182289,0.0031593167756696,2.4131822555774,-54224.785021227,54150.604678633,0.02702175888503,0.040774219605294,0.058871003527142,-0.00020480768786213,10543843.086458,624.60898429168,1.4865163748202e-05,55091.951046268
110597118,0.059538143546751,1151.5136523634,8.9061252272441e+18,607.34512403094,0.00021966699828906,0.040739256480068,0.1309191894458,0.0031622725531762,2.4154385362166,-54093.675578561,54018.829026051,0.02702175888503,0.040739256480068,0.058835131314919,-0.00020480134346935,10542924.910742,624.51406282135,1.4865654819714e-05,55085.519206498
110597298,0.059538214392216,1151.3165149804,8.904045447569e+18,607.36276760733,0.00021966582951031,0.040732599920295,0.13091934466442,0.0031654470405729,2.4178604381856,-54075.237139873,54001.505075579,0.02702175888503,0.040732599920295,0.05882946929222,-0.00020480029713721,10544625.407747,624.54396354659,1.4865532373096e-05,55072.655504236
110597658,0.05953835605821,1151.2659895466,8.9030188848185e+18,607.37346566301,0.00021966532896684,0.040730098182996,0.13091965504752,0.0031670499860157,2.4190790793531,-54069.12020489,53995.78575666,0.02702175888503,0.040730098182996,0.058827514615441,-0.0002047999287132,10545585.759966,624.56212834089,1.4865400253631e-05,55066.306082836
