0.095,0.1887,0.1985,0.2704,0.3184,0.5069,0.5631,0.5953,0.6123,0.6117,0.5878,0.6245,0.6389,0.6486,0.6605,0.6749,0.6856,0.6649,0.7170,0.7501,0.7794,0.8119,0.8474,0.8767,0.8602,0.9370,0.9899,1.0297,1.0401,1.1004,1.1544,1.1904,1.1643,1.2671,1.3326,1.3768,1.3813,1.4517,1.5067,1.5346,1.4831,1.5987,1.6550,1.6781,1.6535,1.7047,1.7100,1.6584,1.5135,1.5406,1.4232,0.9019,0.7563,0.5723
0.100,0.1571,0.1654,0.2254,0.2656,0.4235,0.4715,0.4998,0.5159,0.5172,0.4984,0.5316,0.5470,0.5589,0.5732,0.5904,0.6047,0.5904,0.6409,0.6764,0.7092,0.7455,0.7851,0.8195,0.8096,0.8876,0.9451,0.9907,1.0068,1.0715,1.1323,1.1759,1.1568,1.2659,1.3405,1.3945,1.4066,1.4862,1.5530,1.5925,1.5475,1.6773,1.7485,1.7856,1.7696,1.8353,1.8558,1.8156,1.6699,1.7123,1.6066,1.0409,0.8939,0.7125
0.105,0.1397,0.1471,0.2006,0.2366,0.3776,0.4212,0.4475,0.4632,0.4657,0.4497,0.4811,0.4972,0.5107,0.5266,0.5456,0.5622,0.5516,0.6016,0.6389,0.6740,0.7128,0.7551,0.7927,0.7865,0.8657,0.9262,0.9753,0.9946,1.0621,1.1270,1.1750,1.1593,1.2725,1.3522,1.4113,1.4273,1.5120,1.5847,1.6298,1.5874,1.7246,1.8026,1.8455,1.8327,1.9047,1.9304,1.8929,1.7445,1.7919,1.6858,1.0957,0.9439,0.7571
0.110,0.1324,0.1394,0.1901,0.2243,0.3582,0.4000,0.4255,0.4412,0.4443,0.4296,0.4604,0.4770,0.4913,0.5082,0.5282,0.5461,0.5371,0.5872,0.6256,0.6621,0.7022,0.7460,0.7852,0.7805,0.8605,0.9225,0.9732,0.9937,1.0624,1.1290,1.1788,1.1641,1.2789,1.3605,1.4214,1.4385,1.5248,1.5993,1.6460,1.6040,1.7434,1.8232,1.8675,1.8552,1.9285,1.9553,1.9179,1.7679,1.8160,1.7090,1.1110,0.9572,0.7681
0.115,0.1285,0.1353,0.1846,0.2178,0.3479,0.3887,0.4139,0.4296,0.4330,0.4190,0.4494,0.4664,0.4811,0.4986,0.5192,0.5378,0.5296,0.5798,0.6188,0.6559,0.6968,0.7414,0.7815,0.7775,0.8579,0.9207,0.9722,0.9934,1.0628,1.1303,1.1809,1.1668,1.2824,1.3650,1.4268,1.4444,1.5315,1.6070,1.6545,1.6127,1.7531,1.8339,1.8789,1.8668,1.9409,1.9681,1.9307,1.7798,1.8285,1.7209,1.1189,0.9641,0.7737
0.120,0.1262,0.1329,0.1813,0.2139,0.3418,0.3821,0.4070,0.4227,0.4263,0.4127,0.4430,0.4601,0.4751,0.4929,0.5138,0.5328,0.5252,0.5754,0.6148,0.6523,0.6937,0.7388,0.7793,0.7758,0.8564,0.9197,0.9717,0.9933,1.0630,1.1310,1.1822,1.1684,1.2845,1.3676,1.4300,1.4479,1.5355,1.6116,1.6595,1.6178,1.7589,1.8402,1.8856,1.8736,1.9481,1.9756,1.9383,1.7869,1.8358,1.7279,1.1236,0.9681,0.7771
0.125,0.1247,0.1313,0.1792,0.2114,0.3380,0.3779,0.4026,0.4184,0.4221,0.4087,0.4389,0.4561,0.4713,0.4893,0.5104,0.5297,0.5224,0.5727,0.6122,0.6501,0.6917,0.7371,0.7779,0.7747,0.8555,0.9191,0.9714,0.9932,1.0632,1.1315,1.1830,1.1694,1.2858,1.3693,1.4320,1.4501,1.5381,1.6145,1.6627,1.6210,1.7626,1.8442,1.8899,1.8779,1.9527,1.9804,1.9430,1.7914,1.8405,1.7324,1.1266,0.9707,0.7792
0.130,0.1238,0.1303,0.1778,0.2098,0.3354,0.3751,0.3997,0.4155,0.4193,0.4060,0.4361,0.4535,0.4688,0.4869,0.5082,0.5277,0.5206,0.5709,0.6106,0.6486,0.6904,0.7360,0.7770,0.7740,0.8549,0.9187,0.9712,0.9932,1.0633,1.1319,1.1835,1.1701,1.2867,1.3704,1.4333,1.4516,1.5397,1.6164,1.6648,1.6231,1.7649,1.8468,1.8926,1.8807,1.9557,1.9835,1.9462,1.7943,1.8435,1.7353,1.1285,0.9724,0.7806
0.135,0.1231,0.1297,0.1769,0.2088,0.3338,0.3733,0.3979,0.4136,0.4175,0.4043,0.4344,0.4518,0.4672,0.4854,0.5068,0.5263,0.5194,0.5697,0.6095,0.6477,0.6896,0.7353,0.7765,0.7736,0.8546,0.9184,0.9711,0.9932,1.0634,1.1321,1.1839,1.1706,1.2873,1.3711,1.4342,1.4525,1.5408,1.6176,1.6661,1.6245,1.7665,1.8485,1.8944,1.8826,1.9576,1.9855,1.9482,1.7962,1.8455,1.7372,1.1298,0.9735,0.7815
0.140,0.1227,0.1292,0.1764,0.2081,0.3327,0.3721,0.3967,0.4124,0.4163,0.4032,0.4333,0.4507,0.4662,0.4844,0.5059,0.5255,0.5187,0.5690,0.6089,0.6471,0.6891,0.7349,0.7762,0.7734,0.8544,0.9183,0.9711,0.9932,1.0635,1.1323,1.1841,1.1708,1.2877,1.3716,1.4347,1.4531,1.5414,1.6183,1.6669,1.6253,1.7674,1.8495,1.8954,1.8836,1.9587,1.9867,1.9493,1.7973,1.8466,1.7383,1.1306,0.9743,0.7822
